timestampIso,label,host,platform,arch,nodeVersion,gitBranch,gitCommit,gitDirty,runtime,mode,repeatIndex,policies,trials,wallMs,policiesPerMinute,meanMsPerPolicy,p95MsPerPolicy,enumerationMs,seedPrepMs,tapeGenerationMs,requestBuildMs,nativeRequestSerializeMs,nativeResponseWaitMs,nativeResponseParseMs,rankingMs,outputMs,replayTapeHitRate,compactTapeHitRate,requestBytesAverage,requestTapeBytesTotal,requestTapeBytesSavedTotal,rssDeltaBytes,heapUsedDeltaBytes,bestPolicyId,reportPath
2026-05-08T18:18:50.544Z,proof-ladder-smoke,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5,200,78.165,3838.043,8.331,16.899,0.737,0.520,9.558,0.019,1.438,28.985,0.159,0.058,0.378,0.8000,0.8000,133696.8,615056,2460224,12304384,8880352,pol_1efcef37,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-18-50-500Z-rust-native-compact-parametric-r1.json
2026-05-08T18:26:27.094Z,proof-probe-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,134303.300,446.750,134.267,174.621,1.705,89.943,139.093,1.010,75.632,133871.040,29.872,1.145,0.778,0.9990,0.9990,26054.1,15365457,15350091543,130859008,69133504,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-26-27-053Z-rust-native-compact-parametric-r1.json
2026-05-08T18:39:22.206Z,roth-candidate-stack-buffer-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,31916.026,1879.933,31.879,43.204,2.081,89.086,119.092,0.528,59.581,31540.427,23.621,1.419,0.645,0.9990,0.9990,25992.1,15365457,15350091543,131842048,84680176,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-39-22-164Z-rust-native-compact-parametric-r1.json
2026-05-08T18:40:03.526Z,roth-candidate-stack-buffer-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,155873.251,1924.641,31.172,41.794,4.373,406.681,121.419,2.681,233.663,154805.363,109.765,2.911,1.645,0.9998,0.9998,13699.7,15365457,76811919543,131203072,72891160,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-40-03-480Z-rust-native-compact-parametric-r1.json
2026-05-08T18:44:17.658Z,roth-candidate-stack-buffer-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,152885.450,1962.253,30.575,41.285,4.054,385.041,138.444,1.987,203.620,151889.863,94.447,2.617,1.465,0.9998,0.9998,13698.7,15365457,76811919543,122945536,73245240,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-44-17-608Z-rust-native-compact-parametric-r1.json
2026-05-08T18:46:50.547Z,roth-candidate-stack-buffer-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,2,5000,5000,159873.359,1876.485,31.973,42.828,3.733,416.758,108.104,2.910,194.239,158850.859,112.702,1.807,1.296,0.9998,0.9998,13698.7,15365457,76811919543,9371648,442784,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-44-17-608Z-rust-native-compact-parametric-r2.json
2026-05-08T18:49:30.423Z,roth-candidate-stack-buffer-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,3,5000,5000,158337.792,1894.683,31.666,42.063,3.707,414.888,120.763,3.130,193.657,157303.238,114.732,1.420,1.272,0.9998,0.9998,13698.7,15365457,76811919543,-1359872,-3862768,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-44-17-608Z-rust-native-compact-parametric-r3.json
2026-05-08T18:53:58.378Z,proof-probe-post-roth-buffer-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,133421.663,449.702,133.383,173.681,1.668,91.811,109.736,0.906,73.211,133017.899,31.557,1.394,0.779,0.9990,0.9990,26053.1,15365457,15350091543,-17022976,69629712,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-53-58-341Z-rust-native-compact-parametric-r1.json
2026-05-08T18:57:43.500Z,healthcare-aca-gate-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,28132.090,2132.796,28.093,36.802,1.719,91.160,121.356,0.545,79.945,27726.526,23.281,1.291,0.558,0.9990,0.9990,25992.1,15365457,15350091543,130678784,69908656,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-57-43-457Z-rust-native-compact-parametric-r1.json
2026-05-08T18:58:16.636Z,healthcare-aca-gate-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,137173.308,2187.014,27.432,35.911,5.021,412.323,124.419,1.759,232.298,136084.515,115.982,2.585,1.504,0.9998,0.9998,13699.7,15365457,76811919543,131645440,75346032,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-58-16-593Z-rust-native-compact-parametric-r1.json
2026-05-08T19:01:04.187Z,proof-probe-post-healthcare-gate-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,135028.271,444.351,134.988,175.177,1.858,98.295,125.665,0.882,84.148,134578.882,34.533,1.199,0.819,0.9990,0.9990,26054.1,15365457,15350091543,24346624,69181824,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T19-01-04-145Z-rust-native-compact-parametric-r1.json
2026-05-08T19:04:28.594Z,healthcare-pre-retirement-zero-gate-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,28253.567,2123.626,28.214,37.272,1.986,89.937,122.349,0.548,78.433,27847.037,25.356,1.280,0.533,0.9990,0.9990,25992.1,15365457,15350091543,129974272,70732488,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T19-04-28-549Z-rust-native-compact-parametric-r1.json
2026-05-08T19:20:08.189Z,healthcare-aca-gate-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,133513.157,2246.970,26.700,35.504,4.126,349.788,106.641,1.379,200.236,132617.491,84.765,3.492,1.521,0.9998,0.9998,13699.7,15365457,76811919543,132284416,75358112,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T19-20-08-153Z-rust-native-compact-parametric-r1.json
2026-05-08T19:22:21.705Z,healthcare-aca-gate-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,2,5000,5000,139245.663,2154.466,27.847,36.422,4.535,411.979,136.385,2.665,199.356,138190.762,116.107,1.275,1.246,0.9998,0.9998,13699.7,15365457,76811919543,-40517632,15883376,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T19-20-08-153Z-rust-native-compact-parametric-r2.json
2026-05-08T19:24:40.954Z,healthcare-aca-gate-quiet-confirm,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,3,5000,5000,138912.656,2159.630,27.780,36.525,7.957,418.216,111.296,2.447,200.826,137872.792,116.403,1.466,1.172,0.9998,0.9998,13699.7,15365457,76811919543,26673152,-17796520,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T19-20-08-153Z-rust-native-compact-parametric-r3.json
